path_id,world_group,label_ja,edge_order,source_id,source_title_ja,target_id,target_title_ja,edge_id,importance,relation_scope,directness,continuity_scope,render_line,note
spider_raimi,Spider-Man,Raimi → No Way Home,1,spider-man-2002,スパイダーマン,spider-man-2-2004,スパイダーマン2,spider-man-2002 -> spider-man-2-2004,core,story,direct,same_or_intended,true,story_pathsに列挙した時点で連続線を描画する。各edgeはconnections.csvに実在。
spider_raimi,Spider-Man,Raimi → No Way Home,2,spider-man-2-2004,スパイダーマン2,spider-man-3-2007,スパイダーマン3,spider-man-2-2004 -> spider-man-3-2007,core,story,direct,same_or_intended,true,story_pathsに列挙した時点で連続線を描画する。各edgeはconnections.csvに実在。
spider_raimi,Spider-Man,Raimi → No Way Home,3,spider-man-3-2007,スパイダーマン3,spider-man-no-way-home-2021,スパイダーマン：ノー・ウェイ・ホーム,spider-man-3-2007 -> spider-man-no-way-home-2021,recommended,crossover,direct,multiverse,true,story_pathsに列挙した時点で連続線を描画する。各edgeはconnections.csvに実在。
spider_amazing,Spider-Man,Amazing → No Way Home,1,the-amazing-spider-man-2012,アメイジング・スパイダーマン,the-amazing-spider-man-2-2014,アメイジング・スパイダーマン2,the-amazing-spider-man-2012 -> the-amazing-spider-man-2-2014,core,story,direct,same_or_intended,true,story_pathsに列挙した時点で連続線を描画する。各edgeはconnections.csvに実在。
spider_amazing,Spider-Man,Amazing → No Way Home,2,the-amazing-spider-man-2-2014,アメイジング・スパイダーマン2,spider-man-no-way-home-2021,スパイダーマン：ノー・ウェイ・ホーム,the-amazing-spider-man-2-2014 -> spider-man-no-way-home-2021,recommended,crossover,direct,multiverse,true,story_pathsに列挙した時点で連続線を描画する。各edgeはconnections.csvに実在。
spider_mcu,Spider-Man,MCU Spider-Man,1,spider-man-homecoming-2017,スパイダーマン：ホームカミング,spider-man-far-from-home-2019,スパイダーマン：ファー・フロム・ホーム,spider-man-homecoming-2017 -> spider-man-far-from-home-2019,core,story,direct,same_or_intended,true,story_pathsに列挙した時点で連続線を描画する。各edgeはconnections.csvに実在。
spider_mcu,Spider-Man,MCU Spider-Man,2,spider-man-far-from-home-2019,スパイダーマン：ファー・フロム・ホーム,spider-man-no-way-home-2021,スパイダーマン：ノー・ウェイ・ホーム,spider-man-far-from-home-2019 -> spider-man-no-way-home-2021,core,story,direct,same_or_intended,true,story_pathsに列挙した時点で連続線を描画する。各edgeはconnections.csvに実在。
spider_mcu,Spider-Man,MCU Spider-Man,3,spider-man-no-way-home-2021,スパイダーマン：ノー・ウェイ・ホーム,spider-man-brand-new-day-2026-07-31,スパイダーマン：ブランド・ニュー・デイ,spider-man-no-way-home-2021 -> spider-man-brand-new-day-2026-07-31,core,story,direct,same_or_intended,true,story_pathsに列挙した時点で連続線を描画する。各edgeはconnections.csvに実在。
mcu_avengers_event,MCU,Avengers event spine,1,the-avengers-2012,アベンジャーズ,avengers-age-of-ultron-2015,アベンジャーズ／エイジ・オブ・ウルトロン,the-avengers-2012 -> avengers-age-of-ultron-2015,core,story,direct,same_or_intended,true,story_pathsに列挙した時点で連続線を描画する。各edgeはconnections.csvに実在。
mcu_avengers_event,MCU,Avengers event spine,2,avengers-age-of-ultron-2015,アベンジャーズ／エイジ・オブ・ウルトロン,captain-america-civil-war-2016,シビル・ウォー／キャプテン・アメリカ,avengers-age-of-ultron-2015 -> captain-america-civil-war-2016,recommended,story,indirect,same_or_intended,true,story_pathsに列挙した時点で連続線を描画する。各edgeはconnections.csvに実在。
mcu_avengers_event,MCU,Avengers event spine,3,captain-america-civil-war-2016,シビル・ウォー／キャプテン・アメリカ,avengers-infinity-war-2018,アベンジャーズ／インフィニティ・ウォー,captain-america-civil-war-2016 -> avengers-infinity-war-2018,recommended,crossover,indirect,same_or_intended,true,story_pathsに列挙した時点で連続線を描画する。各edgeはconnections.csvに実在。
mcu_avengers_event,MCU,Avengers event spine,4,avengers-infinity-war-2018,アベンジャーズ／インフィニティ・ウォー,avengers-endgame-2019,アベンジャーズ／エンドゲーム,avengers-infinity-war-2018 -> avengers-endgame-2019,core,story,direct,same_or_intended,true,story_pathsに列挙した時点で連続線を描画する。各edgeはconnections.csvに実在。
mcu_avengers_event,MCU,Avengers event spine,5,avengers-endgame-2019,アベンジャーズ／エンドゲーム,avengers-doomsday-2026-12-18,アベンジャーズ／ドゥームズデイ,avengers-endgame-2019 -> avengers-doomsday-2026-12-18,recommended,story,indirect,same_or_intended,true,story_pathsに列挙した時点で連続線を描画する。各edgeはconnections.csvに実在。
mcu_avengers_event,MCU,Avengers event spine,6,avengers-doomsday-2026-12-18,アベンジャーズ／ドゥームズデイ,avengers-secret-wars-2027-12-17,Avengers: Secret Wars （邦題未発表）,avengers-doomsday-2026-12-18 -> avengers-secret-wars-2027-12-17,core,story,direct,same_or_intended,true,story_pathsに列挙した時点で連続線を描画する。各edgeはconnections.csvに実在。
mcu_iron_man,MCU,Iron Man,1,iron-man-2008,アイアンマン,iron-man-2-2010,アイアンマン2,iron-man-2008 -> iron-man-2-2010,core,story,direct,same_or_intended,true,story_pathsに列挙した時点で連続線を描画する。各edgeはconnections.csvに実在。
mcu_iron_man,MCU,Iron Man,2,iron-man-2-2010,アイアンマン2,iron-man-3-2013,アイアンマン3,iron-man-2-2010 -> iron-man-3-2013,core,story,direct,same_or_intended,true,story_pathsに列挙した時点で連続線を描画する。各edgeはconnections.csvに実在。
mcu_captain_america,MCU,Captain America,1,captain-america-the-first-avenger-2011,キャプテン・アメリカ／ザ・ファースト・アベンジャー,captain-america-the-winter-soldier-2014,キャプテン・アメリカ／ウィンター・ソルジャー,captain-america-the-first-avenger-2011 -> captain-america-the-winter-soldier-2014,core,story,direct,same_or_intended,true,story_pathsに列挙した時点で連続線を描画する。各edgeはconnections.csvに実在。
mcu_captain_america,MCU,Captain America,2,captain-america-the-winter-soldier-2014,キャプテン・アメリカ／ウィンター・ソルジャー,captain-america-civil-war-2016,シビル・ウォー／キャプテン・アメリカ,captain-america-the-winter-soldier-2014 -> captain-america-civil-war-2016,core,story,direct,same_or_intended,true,story_pathsに列挙した時点で連続線を描画する。各edgeはconnections.csvに実在。
mcu_captain_america,MCU,Captain America,3,captain-america-civil-war-2016,シビル・ウォー／キャプテン・アメリカ,the-falcon-and-the-winter-soldier-2021,ファルコン＆ウィンター・ソルジャー,captain-america-civil-war-2016 -> the-falcon-and-the-winter-soldier-2021,recommended,character,proxy,same_or_intended,true,story_pathsに列挙した時点で連続線を描画する。各edgeはconnections.csvに実在。
mcu_captain_america,MCU,Captain America,4,the-falcon-and-the-winter-soldier-2021,ファルコン＆ウィンター・ソルジャー,captain-america-brave-new-world-2025,キャプテン・アメリカ：ブレイブ・ニュー・ワールド,the-falcon-and-the-winter-soldier-2021 -> captain-america-brave-new-world-2025,core,story,strong,same_or_intended,true,story_pathsに列挙した時点で連続線を描画する。各edgeはconnections.csvに実在。
mcu_widow_thunderbolts,MCU,Black Widow / Thunderbolts*,1,captain-america-civil-war-2016,シビル・ウォー／キャプテン・アメリカ,black-widow-2021,ブラック・ウィドウ,captain-america-civil-war-2016 -> black-widow-2021,core,story,direct,same_or_intended,true,story_pathsに列挙した時点で連続線を描画する。各edgeはconnections.csvに実在。
mcu_widow_thunderbolts,MCU,Black Widow / Thunderbolts*,2,black-widow-2021,ブラック・ウィドウ,thunderbolts-new-avengers-2025,サンダーボルツ*,black-widow-2021 -> thunderbolts-new-avengers-2025,recommended,character,proxy,same_or_intended,true,story_pathsに列挙した時点で連続線を描画する。各edgeはconnections.csvに実在。
mcu_widow_thunderbolts,MCU,Black Widow / Thunderbolts*,3,thunderbolts-new-avengers-2025,サンダーボルツ*,avengers-doomsday-2026-12-18,アベンジャーズ／ドゥームズデイ,thunderbolts-new-avengers-2025 -> avengers-doomsday-2026-12-18,recommended,story,strong,same_or_intended,true,story_pathsに列挙した時点で連続線を描画する。各edgeはconnections.csvに実在。
mcu_thor,MCU,Thor,1,thor-2011,マイティ・ソー,thor-the-dark-world-2013,マイティ・ソー／ダーク・ワールド,thor-2011 -> thor-the-dark-world-2013,core,story,direct,same_or_intended,true,story_pathsに列挙した時点で連続線を描画する。各edgeはconnections.csvに実在。
